unit_id,seed,regime_id_oracle,initial_success,decision_required,eligible,ineligibility_reason
1,4700,A_bias_low_noise,False,True,True,
2,4701,B_zero_mean_noise,True,False,False,
3,4702,C_bias_dominant_mixed,True,False,False,
4,4703,D_noise_dominant_mixed,False,True,True,
5,4704,A_bias_low_noise,False,True,True,
6,4705,B_zero_mean_noise,True,False,False,
7,4706,C_bias_dominant_mixed,False,True,True,
8,4707,D_noise_dominant_mixed,False,True,True,
9,4708,A_bias_low_noise,False,True,True,
10,4709,B_zero_mean_noise,True,False,False,
11,4710,C_bias_dominant_mixed,True,False,False,
12,4711,D_noise_dominant_mixed,True,False,False,
13,4712,A_bias_low_noise,False,True,True,
14,4713,B_zero_mean_noise,False,True,True,
15,4714,C_bias_dominant_mixed,False,True,False,BOUNDED_COMPENSATION_NOT_CONSTRUCTIBLE
16,4715,D_noise_dominant_mixed,True,False,False,
17,4716,A_bias_low_noise,False,True,True,
18,4717,B_zero_mean_noise,True,False,False,
19,4718,C_bias_dominant_mixed,True,False,False,
20,4719,D_noise_dominant_mixed,False,True,True,
21,4720,A_bias_low_noise,True,False,False,
22,4721,B_zero_mean_noise,False,True,True,
23,4722,C_bias_dominant_mixed,False,True,False,BOUNDED_COMPENSATION_NOT_CONSTRUCTIBLE
24,4723,D_noise_dominant_mixed,False,True,True,
25,4724,A_bias_low_noise,True,False,False,
26,4725,B_zero_mean_noise,True,False,False,
27,4726,C_bias_dominant_mixed,True,False,False,
28,4727,D_noise_dominant_mixed,True,False,False,
29,4728,A_bias_low_noise,True,False,False,
30,4729,B_zero_mean_noise,True,False,False,
31,4730,C_bias_dominant_mixed,True,False,False,
32,4731,D_noise_dominant_mixed,False,True,True,
33,4732,A_bias_low_noise,True,False,False,
34,4733,B_zero_mean_noise,True,False,False,
35,4734,C_bias_dominant_mixed,False,True,True,
36,4735,D_noise_dominant_mixed,True,False,False,
37,4736,A_bias_low_noise,False,True,True,
38,4737,B_zero_mean_noise,False,True,True,
39,4738,C_bias_dominant_mixed,False,True,True,
40,4739,D_noise_dominant_mixed,False,True,True,
41,4740,A_bias_low_noise,False,True,True,
42,4741,B_zero_mean_noise,True,False,False,
43,4742,C_bias_dominant_mixed,False,True,True,
44,4743,D_noise_dominant_mixed,True,False,False,
45,4744,A_bias_low_noise,True,False,False,
46,4745,B_zero_mean_noise,True,False,False,
47,4746,C_bias_dominant_mixed,True,False,False,
48,4747,D_noise_dominant_mixed,False,True,True,
49,4748,A_bias_low_noise,True,False,False,
50,4749,B_zero_mean_noise,True,False,False,
