case_id,seed,action,probe_requested,hypothesis_mechanism,confidence,prediction,mechanism_class_oracle,correct,probe_environment_steps,latency_ms,input_tokens,output_tokens
development_case_0002,321,request_probe,True,insufficient_evidence,0.82,stable_bias,stable_bias,True,64,24369.41669997759,698,672
development_case_0041,320,request_probe,True,insufficient_evidence,0.82,stochastic_noise,stochastic_noise,True,64,22054.829200031236,698,542
development_case_0028,327,request_probe,True,insufficient_evidence,0.83,stable_bias,stable_bias,True,64,27783.513100119308,701,1029
development_case_0042,321,request_probe,True,insufficient_evidence,0.88,stochastic_noise,stochastic_noise,True,64,27591.38279990293,700,884
development_case_0031,320,request_probe,True,insufficient_evidence,0.88,stable_bias,stable_bias,True,64,34210.31800005585,692,1117
development_case_0045,324,request_probe,True,insufficient_evidence,0.88,stochastic_noise,stochastic_noise,True,64,27963.124099886045,696,955
development_case_0035,324,request_probe,True,insufficient_evidence,0.86,stable_bias,stable_bias,True,64,28386.44320005551,702,941
development_case_0046,325,request_probe,True,insufficient_evidence,0.86,stochastic_noise,stochastic_noise,True,64,25523.380200145766,704,844
development_case_0001,320,request_probe,True,insufficient_evidence,0.88,stable_bias,stable_bias,True,64,29197.456100024283,699,1015
development_case_0047,326,request_probe,True,insufficient_evidence,0.92,stochastic_noise,stochastic_noise,True,64,30114.86590001732,698,993
