case_id,seed,evidence_mode,action,probe_requested,hypothesis_mechanism,confidence,prediction,mechanism_class_oracle,correct,probe_environment_steps,latency_ms,input_tokens,output_tokens
development_case_0002,321,phase_conditioned,request_probe,True,insufficient_evidence,0.84,stable_bias,stable_bias,True,64,33983.35259989835,901,1193
development_case_0041,320,phase_conditioned,request_probe,True,insufficient_evidence,0.82,stochastic_noise,stochastic_noise,True,64,23375.479699810967,900,755
development_case_0028,327,phase_conditioned,request_probe,True,insufficient_evidence,0.82,stable_bias,stable_bias,True,64,37109.54239987768,890,1412
development_case_0042,321,phase_conditioned,request_probe,True,insufficient_evidence,0.84,stochastic_noise,stochastic_noise,True,64,54955.65650006756,887,1993
development_case_0031,320,phase_conditioned,request_probe,True,insufficient_evidence,0.86,stable_bias,stable_bias,True,64,32070.586600108072,878,1132
development_case_0045,324,phase_conditioned,request_probe,True,insufficient_evidence,0.92,stochastic_noise,stochastic_noise,True,64,30951.242699986324,897,1157
development_case_0035,324,phase_conditioned,request_probe,True,insufficient_evidence,0.82,stable_bias,stable_bias,True,64,33048.50820009597,890,1251
development_case_0046,325,phase_conditioned,request_probe,True,insufficient_evidence,0.86,stochastic_noise,stochastic_noise,True,64,35592.77780004777,904,1295
development_case_0001,320,phase_conditioned,request_probe,True,insufficient_evidence,0.78,stable_bias,stable_bias,True,64,52206.22739987448,888,1868
development_case_0047,326,phase_conditioned,request_probe,True,insufficient_evidence,0.82,stochastic_noise,stochastic_noise,True,64,36662.35230001621,883,1328
