experiment_run_id,source_git_commit,case_id,episode_id,seed,decision_required,initial_success,initial_steps,initial_return,initial_final_object_goal_distance,condition_id,mechanism_class_oracle,passive_prediction,probe_prediction,probe_score,phase_inconsistency,temporal_uncertainty,passive_candidate,probe_candidate,oracle_mechanism_candidate,best_candidate_ids,paired_comparable,compensation_available,compensation_unavailable_reason,passive_candidate_is_best,probe_candidate_is_best,oracle_mechanism_candidate_is_best,belief_changed,intervention_changed,probe_vs_passive_selected_outcome,registered_probe_environment_steps,initial_perturbation_seed,probe_perturbation_seed_base,verification_perturbation_seed
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0001,1,400,True,False,500,101.91464341049107,0.28825268611524824,fault_01,stable_bias,stable_bias,stable_bias,0.0,0.8748620695077509,0.832846341106388,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,42540154,96072567,1620281615
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0002,2,401,False,True,54,153.18942961749747,0.045553209238436164,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0003,3,402,False,True,57,125.52213503592876,0.04807873209425016,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0004,4,403,True,False,500,230.8301079312641,0.18820088250029482,fault_01,stable_bias,stable_bias,stable_bias,1.832643195433386e-15,0.9110104488357585,0.8657972908889907,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,79222423,3585298644,151812799
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0005,5,404,False,True,197,482.6438732996897,0.04741719660761481,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0006,6,405,False,True,61,162.43557503450918,0.0494852684656332,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0007,7,406,True,False,500,292.5810832172099,0.21210307852939558,fault_01,stable_bias,stable_bias,stable_bias,0.0,0.9030471089581275,0.8143784935526386,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,3112179510,2263118641,2894661903
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0008,8,407,True,False,500,510.0761688592275,0.09688808357688446,fault_01,stable_bias,stable_bias,stable_bias,0.0,0.7018469723631668,0.6573238849805385,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,1890274425,535265983,3243352283
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0009,9,408,False,True,57,129.2847469387218,0.04924502356000173,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0010,10,409,False,True,59,177.6848612248407,0.04763030356089795,,,,,,,,,,,,False,,,,,,,,,,,,
